site_num,date_local,pm_tot,site
110,2007-07-20,9.8,bronx
110,2007-07-21,4.2,bronx
110,2007-07-22,5.4,bronx
110,2007-07-23,5.5,bronx
110,2007-07-24,10.1,bronx
110,2007-07-25,11.1,bronx
110,2007-07-26,11.2,bronx
110,2007-07-27,11.9,bronx
110,2007-07-28,19.3,bronx
110,2007-07-29,32.3,bronx
110,2007-07-30,29.6,bronx
110,2007-08-02,24.8,bronx
110,2007-08-03,26.3,bronx
110,2007-08-06,27.2,bronx
110,2007-08-08,25.1,bronx
110,2007-08-09,8.2,bronx
110,2007-08-10,2.8,bronx
110,2007-08-11,6.3,bronx
110,2007-08-12,12.7,bronx
110,2007-08-13,13.5,bronx
110,2007-08-14,4.5,bronx
110,2007-08-15,19.2,bronx
110,2007-08-16,28.7,bronx
110,2007-08-17,14.9,bronx
110,2007-08-18,2.8,bronx
110,2007-08-19,6.6,bronx
110,2007-08-20,7.7,bronx
110,2007-08-21,3.5,bronx
110,2007-08-22,4.5,bronx
110,2007-08-23,8,bronx
110,2007-08-24,19.7,bronx
110,2007-08-25,34.4,bronx
110,2007-08-26,11.2,bronx
110,2007-08-27,5.8,bronx
110,2007-08-28,10.4,bronx
110,2007-08-29,11.7,bronx
110,2007-08-30,18.6,bronx
110,2007-08-31,14.9,bronx
110,2007-09-01,6.8,bronx
110,2007-09-05,7.2,bronx
110,2007-09-06,8.2,bronx
110,2007-09-07,15,bronx
110,2007-09-08,12.3,bronx
110,2007-09-09,7.6,bronx
110,2007-09-10,14.2,bronx
110,2007-09-12,4.9,bronx
110,2007-09-13,6.8,bronx
110,2007-09-14,8,bronx
110,2007-09-15,3,bronx
110,2007-09-16,3.8,bronx
110,2007-09-17,5.2,bronx
110,2007-09-18,7,bronx
110,2007-09-20,15.7,bronx
110,2007-09-21,25.9,bronx
110,2007-09-22,14,bronx
110,2007-09-23,7.7,bronx
110,2007-09-24,6.6,bronx
110,2007-09-25,17.9,bronx
110,2007-09-27,17.5,bronx
110,2007-09-28,7.4,bronx
110,2007-09-29,3.9,bronx
110,2007-09-30,5.8,bronx
110,2007-10-01,6.3,bronx
110,2007-10-02,5.7,bronx
110,2007-10-03,7.9,bronx
110,2007-10-04,17,bronx
110,2007-10-05,25,bronx
110,2007-10-06,22.4,bronx
110,2007-10-07,16.5,bronx
110,2007-10-08,18.8,bronx
110,2007-10-09,12.7,bronx
110,2007-10-10,6.2,bronx
110,2007-10-11,6.5,bronx
110,2007-10-12,3.5,bronx
110,2007-10-13,7.2,bronx
110,2007-10-14,6.6,bronx
110,2007-10-15,6.4,bronx
110,2007-10-16,8.9,bronx
110,2007-10-17,25.2,bronx
110,2007-10-18,22,bronx
110,2007-10-19,15.2,bronx
110,2007-10-20,8.4,bronx
110,2007-10-21,11.5,bronx
110,2007-10-22,16.5,bronx
110,2007-10-23,12.8,bronx
110,2007-10-24,3.8,bronx
110,2007-10-25,4.6,bronx
110,2007-10-26,5.8,bronx
110,2007-10-27,6.6,bronx
110,2007-10-28,4.7,bronx
110,2007-10-29,5.7,bronx
110,2007-10-30,14,bronx
110,2007-10-31,21.5,bronx
110,2007-11-01,9,bronx
110,2007-11-02,5.7,bronx
110,2007-11-03,4.8,bronx
110,2007-11-04,10.3,bronx
110,2007-11-05,8.9,bronx
