"Date","aluminum","ammonium ion","antimony","arsenic","barium","bromine","cadmium","calcium","chlorine","chromium","cobalt","copper","elemental carbon","iron","lead","magnesium","manganese","nickel","organic carbon","potassium ion","selenium","silicon","sodium","sulfur","titanium","total nitrate","vanadium","zinc"
"2003-04-03",0.026,4.44,0,0.0032,0,0.0046,0,0.034,0.005,0.001,0,0.002,NA,0.115,0.004,0.004,0.0042,0.0239,NA,0,0.002,0.0368,0.162,2.7,0.0056,4.86,0.0058,0.025
"2003-04-06",0.019,NA,0.006,0,0.005,0,0.002,0.0218,0,0,0,0,NA,0.0623,0.002,0,0,0.0065,NA,NA,0,0.0375,0.044,0.636,0.002,NA,0.002,0.003
"2003-04-09",0.032,2.06,0.002,0,0.043,0.0035,0,0.0349,0.013,0.001,0.0023,0.002,NA,0.0917,0.0106,0,0.001,0.0483,NA,0,0.001,0.033,0.144,1.29,0.003,2.74,0.0089,0.0292
"2003-04-12",0,0.501,0.014,0,0.0061,0.001,0,0.0305,0.002,0.0031,0.00159,0.004,NA,0.118,0.0045,0,0.004,0.007,NA,0,0.001,0.0827,0,0.416,0.001,0.952,0.0026,0.0116
"2003-04-21",0.01,1.13,0.009,0,0.049,0.002,0.003,0.0501,0.069,0,0.001,0.0032,NA,0.13,0.002,0,0.002,0.0147,NA,0,0,0.038,0.132,0.912,0.0055,2.44,0.0058,0.0141
"2003-04-24",0.074,0.436,0,0,0.002,0,0,0.0887,0.02,0.002,0,0.003,NA,0.206,0,0.029,0.0035,0.0037,NA,0,0,0.15,0.075,0.463,0.0099,0.464,0,0.004
"2003-04-27",0.021,0.782,0,0.002,0.033,0,0,0.0423,0,0.001,0,0.004,NA,0.169,0.004,0.01,0.0031,0.0041,NA,0,0,0.104,0.039,0.697,0.0058,0.904,0.0042,0.008
"2003-04-30",0.031,0.436,0.002,0,0.012,0.001,0.002,0.0523,0,0,0,0.002,NA,0.152,0,0,0.001,0.0111,NA,0,0.001,0.108,0,0.407,0.002,0.49,0.001,0.009
"2003-05-06",0,3.89,0,0,0.0126,0.0046,0,0.0735,0.188,0.0036,0,0.0027,NA,0.21,0.008,0,0.0074,0.0281,NA,0.074,0.001,0.124,0,1.55,0.003,7.3,0.012,0.0363
"2003-05-09",0,4.06,0,0.00112,0,0.003,0,0.0409,0.0248,0.0043,0,0.0086,NA,0.131,0.0101,0,0.0064,0.009,NA,0.07,0.0036,0.0772,0,2.03,0.001,8.45,0.0153,0.0436
"2003-05-12",0,2.17,0.066,0,0.021,0,0,0.0384,0,0,0.001,0.0111,NA,0.0864,0.0053,0,0.0026,0.0047,NA,0,0,0.081,0,1.37,0.004,4.23,0.001,0.0186
"2003-05-15",0.001,1.78,0.003,0,0.001,0.001,0,0.0307,0.013,0,0.0019,0.0039,NA,0.109,0.005,0.002,0.002,0.0189,NA,0,0,0.042,0.061,1.13,0.002,3.89,0.0037,0.0225
"2003-05-18",0.022,1.11,0,0.002,0,0.0035,0,0.0307,0.006,0,0,0.001,NA,0.0763,0.001,0.005,0,0.0359,NA,0,0,0.0513,0.12,1.14,0.0044,2.24,0.0063,0.016
"2003-05-21",0.021,1.69,0,0,0.026,0.0087,0,0.043,0.036,0.001,0,0.01,NA,0.171,0.0127,0.009,0.0069,0.0157,NA,0,0.002,0.0946,0.022,1.4,0.002,3.09,0.0131,0.042
"2003-05-24",0,1.78,0,0,0,0.001,0.002,0.0064,0,0,0.00139,0.0024,NA,0.0571,0.0029,0,0.002,0.022,NA,0,0.0011,0.0474,0,1.77,0,2.14,0.0045,0.0102
"2003-05-27",0,1.45,0,0.00188,0.0064,0.001,0,0.0239,0.0146,0,0.001,0.0021,NA,0.0971,0.0037,0,0.0035,0.014,NA,0,0,0.0508,0,0.647,0.001,3.62,0.0047,0.0251
"2003-05-30",0,3.01,0,0.00156,0.0095,0.005,0.0124,0.0663,0.004,0.0083,0.00179,0.0072,NA,0.193,0.0069,0,0.0054,0.009,NA,0,0.0044,0.123,0,2.56,0.0034,3.05,0.0117,0.0277
"2003-06-02",0.013,0.482,0,0.001,0,0.001,0,0.0503,0.033,0.001,0,0.003,NA,0.127,0,0.011,0.002,0.0024,NA,0,0,0.0651,0.02,0.525,0.0115,0.298,0.002,0.012
"2003-06-05",0,3.63,0.001,0,0.013,0.002,0,0.034,0.002,0.001,0.001,0.0043,NA,0.122,0.01,0,0.0051,0.0117,NA,0,0,0.026,0.134,2.7,0.0051,3.94,0.0061,0.0338
"2003-06-08",0,4.33,0,0,0.015,0.0054,0,0.0263,0,0.001,0.001,0.0075,NA,0.0685,0.0049,0.009,0,0.0196,NA,0,0.001,0.106,0.092,3.41,0.001,3.82,0.0108,0.0163
"2003-06-11",0,4.8,0,0.0031,0.024,0.0045,0,0.0786,0,0,0,0.0122,NA,0.24,0.0099,0.043,0,0.0166,NA,0,0.002,0.148,0.252,3.17,0.005,5.77,0.022,0.0355
"2003-06-14",0.02,5.28,0,0.002,0,0.0039,0,0.0413,0.01,0,0,0.0049,NA,0.12,0.0068,0,0.0027,0.0163,NA,0,0.0033,0.004,0,4,0.0041,5.19,0.0232,0.0309
"2003-06-17",0,1.16,0.008,0,0,0.001,0.001,0.034,0.005,0.001,0.002,0.001,NA,0.0876,0,0.015,0.0042,0.0215,NA,0,0.001,0.021,0.223,1.05,0.0033,1.68,0.0099,0.0172
"2003-06-20",0.019,3.24,0,0.001,0.037,0.002,0,0.0241,0.017,0.001,0,0.002,NA,0.109,0.006,0.022,0.0026,0.0146,NA,0,0,0.004,0,2.61,0.0039,2.55,0.004,0.0177
"2003-06-23",0,1.13,0,0.0036,0.011,0.006,0,0.0489,0.0124,0.001,0,0.0075,NA,0.169,0.0085,0,0.0044,0.0104,NA,0,0.002,0.073,0,0.957,0.002,1.5,0.0178,0.0443
"2003-06-26",0.016,8.65,0.007,0.0023,0.019,0.0098,0.002,0.0899,0.0908,0.003,0.001,0.009,NA,0.181,0.0103,0.07,0.0054,0.0066,NA,0,0.0049,0.24,0.197,9.44,0.005,1.46,0.0069,0.0247
"2003-07-08",0.111,4.97,0,0.0042,0.04,0.003,0,0.141,0.009,0.0028,0,0.004,NA,0.242,0.005,0,0.0047,0.0091,NA,0,0.0071,0.236,0,5.23,0.0164,2.09,0.0097,0.0165
"2003-07-11",0.027,2.87,0.002,0.0052,0,0.0024,0,0.046,0,0.0031,0.001,0.0036,NA,0.158,0.0079,0,0.0057,0.0125,NA,0,0,0.029,0.021,2.2,0.0059,2.96,0.0085,0.0452
"2003-07-14",0.015,2.47,0,0,0.021,0.002,0,0.0615,0.0131,0.0028,0,0.002,NA,0.111,0,0,0.003,0.0176,NA,0,0.003,0.033,0.026,2.4,0.0048,2.05,0.0058,0.0144
"2003-07-17",0.03,1.25,0,0.001,0,0.001,0,0.0747,0,0.001,0,0.003,NA,0.159,0.001,0.013,0.0033,0.001,NA,0,0.002,0.072,0,1.33,0.0056,0.433,0,0.0173
"2003-07-20",0.005,1.75,0,0,0.008,0.008,0,0.0352,0.0113,0,0,0.002,NA,0.09,0.005,0,0.002,0.011,NA,0,0.002,0.021,0.01,2.13,0.0042,0.608,0.0169,0.0179
"2003-07-23",0.02,2.64,0,0,0,0.004,0,0.033,0.0148,0.001,0,0.003,NA,0.105,0.008,0.018,0.002,0.0057,NA,0,0,0.035,0.077,2.47,0.0061,2.25,0.0076,0.0201
"2003-07-26",0.011,3.78,0.008,0.0057,0.018,0.003,0.003,0.0507,0.018,0.004,0,0.007,NA,0.138,0.006,0.01,0.0062,0.0093,NA,0.096,0,0.048,0,3.5,0.0055,1.78,0.0228,0.0293
"2003-07-29",0,0.576,0.005,0,0.021,0.0048,0.011,0.0507,0,0.002,0.001,0.0085,NA,0.117,0.0064,0,0,0.0219,NA,0,0.002,0.068,0,0.725,0.002,0.799,0.0058,0.0212
"2003-08-01",0.103,2.91,0.011,0.004,0.007,0.003,0,0.0795,0.0521,0.002,0,0.0065,NA,0.133,0.007,0.051,0.006,0.01,NA,0,0.001,0.1,0.147,2.59,0.004,2.25,0.0098,0.0278
"2003-08-04",0,0.713,0.033,0.0036,0.012,0.0016,0,0.0789,0,0.003,0.001,0.0093,NA,0.151,0.0036,0,0,0.0053,NA,0,0,0.179,0,0.898,0.011,0.942,0.0098,0.016
"2003-08-07",0.022,3.39,0,0.0037,0.013,0.0062,0.002,0.0782,0.0495,0.002,0,0.0069,NA,0.169,0.0034,0.044,0.0027,0.0207,NA,0,0.001,0.12,0.268,3.3,0.001,3.14,0.0147,0.0405
"2003-08-10",0,1.15,0.002,0,0,0.002,0,0.0315,0.0149,0,0,0.001,NA,0.0764,0.005,0.004,0,0.0043,NA,0,0.003,0.032,0.161,1.57,0.0036,0.947,0.0094,0.0071
"2003-08-13",0.005,8.59,0.013,0.003,0,0.013,0,0.071,0.0356,0,0,0.049,NA,0.173,0.0274,0,0.0051,0.0104,NA,0,0.0041,0.038,0,8.1,0.0056,4.01,0.0137,0.0486
"2003-08-16",0,5.17,0,0.001,0.011,0.0062,0.001,0.0641,0,0.002,0,0.0211,NA,0.109,0.0102,0,0.0029,0.0098,NA,0,0.0036,0.137,0,4.34,0.007,1.37,0.0228,0.0214
"2003-08-19",0.012,1.82,0,0.0062,0,0.0042,0.005,0.0663,0.009,0.004,0,0.013,NA,0.166,0.004,0,0.002,0.0058,NA,0,0.002,0.023,0,1.6,0.0041,1.82,0.0099,0.0327
"2003-08-22",0,8.42,0,0.001,0.025,0.0108,0,0.065,0,0.002,0.001,0.0122,NA,0.152,0.009,0,0,0.0078,NA,0,0.0049,0.214,0,8.01,0.005,2.83,0.0066,0.0318
"2003-08-25",0,3.37,0,0,0.033,0.0042,0.005,0.0697,0,0.005,0,0.0128,NA,0.158,0.0182,0,0.001,0.0066,NA,0,0.0034,0.137,0,3.45,0,0.765,0.0086,0.0217
"2003-08-28",0,0.739,0,0.001,0.033,0.0052,0,0.0922,0,0.003,0,0.014,NA,0.195,0.0045,0,0,0.0063,NA,0,0,0.132,0,0.847,0,0.741,0.002,0.017
"2003-08-31",0,0.596,0,0,0,0,0,0.0284,0,0,0,0.0073,NA,0.0703,0.003,0,0,0.0161,NA,0,0,0.074,0,0.689,0.005,0.917,0.0074,0.02
"2003-09-03",0.003,1.15,0,0,0,0.007,0.001,0.026,0.0246,0.002,0,0.004,NA,0.151,0.009,0.005,0.003,0.0126,NA,0,0,0.036,0.032,0.993,0.0042,1.73,0,0.0319
"2003-09-06",0.321,0.197,0.013,0.0055,0.047,0.003,0,0,0.757,0,0.001,0.02,NA,0.0741,0.0226,0.267,0.0045,0.0065,NA,1.89,0.002,0.009,0,0.784,0.0271,0.407,0.0175,0.017
"2003-09-09",0,0.466,0.021,0,0,0.0023,0.004,0.0387,0,0,0.0016,0.0083,NA,0.0933,0.0032,0,0,0.0166,NA,0,0.001,0.06,0,0.679,0.012,0.488,0.003,0.017
"2003-09-12",0,0.491,0.031,0.0016,0.004,0.0024,0.017,0.0235,0.0138,0.001,0.001,0.0038,NA,0.067,0,0,0.0018,0.0266,NA,0,0.001,0,0,0.761,0.003,0.549,0.0046,0.0151
"2003-09-15",0,0.237,0.039,0.001,0,0.003,0,0.0095,0.0173,0,0.001,0,NA,0.118,0.003,0,0.0076,0.0096,NA,0,0,0.004,0,0.614,0.031,0.538,0.0084,0.0163
"2003-09-18",0,0.717,0,0,0,0.0033,0.017,0,0.0209,0.005,0.001,0,NA,0.0647,0.0061,0,0.001,0.0091,NA,0,0.001,0.018,0,1.07,0.005,0.573,0.0038,0.0182
"2003-09-21",0,1.33,0,0.001,0,0.0024,0,0.0338,0,0.005,0,0.0033,NA,0.0845,0.0031,0,0.0019,0.0156,NA,0,0,0.064,0,1.49,0.008,0.527,0.0083,0.0137
"2003-09-24",0,1.39,0,0.0023,0,0.0047,0,0.0077,0.0207,0.003,0,0,NA,0.107,0.0035,0,0.002,0.0037,NA,0,0.001,0.039,0.041,1.59,0.004,1.21,0.0051,0.0223
"2003-09-27",0.002,0.751,0,0,0,0.001,0,0.0332,0,0.002,0,0.003,NA,0.0857,0,0.008,0.001,0.0042,NA,0,0,0.018,0.116,0.877,0.004,0.988,0.0025,0.0091
"2003-09-30",0.03,1.35,0,0,0,0.002,0.001,0.0223,0,0.002,0,0.004,NA,0.102,0.002,0,0.0036,0.0033,NA,0,0.003,0.047,0.108,1.21,0.003,1.09,0.002,0.0158
"2003-10-03",0.021,0.517,0.003,0,0,0,0,0.0339,0,0.001,0,0.004,NA,0.138,0.001,0,0.003,0.0026,NA,0,0,0.065,0,0.477,0.0049,0.921,0.0026,0.0197
"2003-10-06",0,0.885,0,0.0032,0,0.002,0,0,0.0183,0,0,0,NA,0.0878,0.008,0,0.002,0.0043,NA,0,0,0.016,0,1.04,0.0069,0.856,0.0044,0.0395
"2003-10-09",0,12.8,0,0.0043,0.001,0.0205,0,0.0903,0,0.002,0,0.0186,NA,0.263,0.025,0,0.0081,0.02,NA,0,0.0061,0.215,0,7.43,0.0072,18.1,0.0195,0.078
"2003-10-12",0.072,1.73,0,0,0,0.0037,0.002,0.0429,0,0,0,0.0069,NA,0.069,0.005,0.124,0,0.0263,NA,0,0.003,0.076,0.334,1.92,0.011,0.931,0.0347,0.0143
"2003-10-15",0.015,0.382,0.005,0.001,0.002,0.001,0,0.0269,0,0.003,0,0.004,NA,0.0666,0.001,0,0.002,0.0022,NA,0,0.003,0.024,0.003,0.423,0.001,0.294,0.001,0.0181
"2003-10-18",0.008,1.35,0,0.004,0.001,0.006,0,0.0324,0,0.001,0,0.003,NA,0.0898,0,0,0,0.0081,NA,0,0,0.026,0.013,1.01,0.002,2.19,0.003,0.0257
"2003-10-21",0.079,2.97,0.029,0.0061,0.055,0.0065,0,0.0405,0.0385,0.002,0,0.0045,NA,0.128,0.002,0.062,0.0024,0.0028,NA,0,0.0035,0.078,0.18,2.78,0.004,2.5,0.0072,0.0235
"2003-10-24",0,0.777,0,0.001,0.022,0.0018,0,0.0553,0.0108,0.002,0.001,0.0046,NA,0.108,0.0045,0,0.001,0.0133,NA,0,0.002,0.06,0,0.739,0,0.921,0.002,0.0377
"2003-10-27",0.005,0.473,0,0,0.023,0.003,0,0.0234,0,0.001,0,0.002,NA,0.092,0.005,0.02,0.001,0.0046,NA,0,0,0.028,0.148,0.675,0.0037,0.924,0.005,0.0123
"2003-10-30",0,1.23,0,0.0057,0.005,0.001,0,0.0443,0.019,0.002,0,0.011,NA,0.113,0.003,0,0.002,0.0078,NA,0,0.0047,0.049,0,1.21,0.0044,1.35,0.0108,0.0421
"2003-11-02",0.003,3.24,0,0.0063,0.02,0.0039,0,0.0296,0.016,0.001,0.001,0,NA,0.0878,0.004,0.065,0.003,0.0178,NA,0,0,0.038,0.352,2.23,0.0043,3.79,0.0145,0.0203
"2003-11-05",0,2.42,0.031,0.0026,0,0.0066,0.006,0.056,0.0761,0.002,0.0039,0,NA,0.171,0.0072,0.004,0,0.032,NA,0.074,0,0.111,0.145,2.15,0.001,2.31,0.0112,0.0575
"2003-11-08",0.029,0.642,0.005,0,0,0,0.002,0.0287,0,0,0,0.001,NA,0.0656,0,0,0,0.0098,NA,0.07,0,0.041,0.017,0.626,0.0046,0.746,0.001,0.0138
"2003-11-11",0.055,2.41,0.013,0.0048,0.016,0.0037,0,0.0623,0.143,0.002,0.001,0.004,NA,0.159,0.001,0,0.0061,0.023,NA,0.084,0.0051,0.069,0,1.13,0.0074,5.35,0.0187,0.0474
"2003-11-14",0.015,0.706,0.003,0.002,0.004,0.004,0,0.0352,0.25,0.001,0,0.002,NA,0.0769,0,0.004,0,0.0091,NA,0,0.002,0.052,0.005,0.622,0.002,0.688,0,0.0133
"2003-11-17",0,5.38,0,0.0048,0.002,0.0095,0.004,0.0655,0.798,0.004,0.0016,0.0067,NA,0.141,0.0129,0,0,0.0546,NA,0.108,0.0026,0.069,0,2.28,0.002,11,0.0115,0.0581
"2003-11-20",NA,0.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.453,NA,NA
"2003-11-23",0.026,2.54,0,0.003,0.034,0.003,0,0.0402,0.0647,0,0,0.001,NA,0.109,0.006,0.008,0.001,0.0379,NA,0.09,0.001,0.059,0.074,1.49,0.0034,4.53,0.0176,0.0471
"2003-11-26",0,3.55,0,0,0.015,0.0061,0.001,0.0591,0.05,0.005,0.001,0.008,NA,0.188,0.0124,0,0.0033,0.0252,NA,0,0.0068,0.074,0,1.9,0.0057,6.51,0.0216,0.0851
"2003-11-29",0.007,0.571,0.002,0.001,0.006,0,0,0.0157,0,0.0028,0,0.002,NA,0.0293,0,0,0,0.0056,NA,0,0,0.012,0.008,0.605,0,0.357,0.001,0.0087
"2003-12-02",0.022,0.523,0,0.003,0.038,0.002,0.004,0.0356,0.057,0,0.002,0.005,NA,0.104,0.006,0,0.0042,0.02,NA,0,0.001,0.024,0,0.545,0.002,0.705,0.0035,0.0642
"2003-12-05",0,2.37,0.015,0.0056,0,0.0082,0,0.0806,0.332,0,0.0104,0,NA,0.0874,0.0155,0,0,0.105,NA,0.078,0.002,0.051,0,2,0.002,3.23,0.0218,0.0907
"2003-12-08",0,0.977,0.032,0,0.005,0.0036,0.015,0.061,0.244,0.0054,0.0037,0.0066,NA,0.11,0.006,0,0,0.0626,NA,0.061,0,0.059,0.066,1.04,0.002,1.74,0.0197,0.0767
"2003-12-11",0,0.478,0.043,0.001,0,0.0042,0,0.0289,0.13,0.001,0.001,0,NA,0.0437,0.0046,0,0.001,0.0094,NA,0,0.001,0.008,0,0.665,0,0.463,0.0065,0.0159
"2003-12-14",NA,0.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.13,NA,NA
"2003-12-17",NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.42,NA,NA
"2003-12-20",NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3,NA,NA
"2003-12-23",NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2.6,NA,NA
"2003-12-27",NA,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.1,NA,NA
"2003-12-29",NA,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7.63,NA,NA
"2004-01-01",NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.77,NA,NA
"2004-01-04",NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091,NA,NA,NA,NA,NA,3.65,NA,NA
"2004-01-07",NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2.61,NA,NA
"2004-01-10",NA,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.88,NA,NA
"2004-01-13",0,2.12,0,0.0021,0,0.0036,0.009,0.0281,0.253,0.002,0.0014,0,NA,0.0763,0.0054,0,0,0.02,NA,0,0.0029,0.089,0,1.61,0.006,3.43,0.0106,0.0314
"2004-01-16",NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.16,NA,NA
"2004-01-19",0.04,0.656,0,0,0,0.004,0,0.0246,0.008,0,0,0,NA,0.0676,0.001,0.011,0.001,0.0174,NA,0,0.002,0.066,0.094,0.63,0.002,0.885,0.002,0.0119
"2004-01-22",NA,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6.7,NA,NA
"2004-01-25",NA,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.33,NA,NA
"2004-01-28",NA,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA,NA,3.49,NA,NA
"2004-01-31",NA,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,NA,NA,NA,NA,NA,3.12,NA,NA
"2004-02-03",NA,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4.38,NA,NA
"2004-02-06",NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061,NA,NA,NA,NA,NA,3.33,NA,NA
"2004-02-09",NA,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4.51,NA,NA
