date,concentration,source_4,source_1,source_3,source_2,source_5,source_6
2007-01-03,12316.666666666666,NA,NA,NA,NA,NA,NA
2007-01-06,6050,NA,NA,NA,NA,NA,NA
2007-01-09,8560,NA,NA,NA,NA,NA,NA
2007-01-12,16883.333333333332,NA,NA,NA,NA,NA,NA
2007-01-15,19650,NA,NA,NA,NA,NA,NA
2007-01-18,19783.333333333332,NA,NA,NA,NA,NA,NA
2007-01-21,7050,NA,NA,NA,NA,NA,NA
2007-01-24,14233.333333333334,NA,NA,NA,NA,NA,NA
2007-01-27,17066.666666666668,NA,NA,NA,NA,NA,NA
2007-01-30,17400,NA,NA,NA,NA,NA,NA
2007-02-02,33233.333333333336,NA,NA,NA,NA,NA,NA
2007-02-05,8620,NA,NA,NA,NA,NA,NA
2007-02-08,12166.666666666666,NA,NA,NA,NA,NA,NA
2007-02-11,14466.666666666666,NA,NA,NA,NA,NA,NA
2007-02-14,9533.333333333334,NA,NA,NA,NA,NA,NA
2007-02-17,14566.666666666666,NA,NA,NA,NA,NA,NA
2007-02-20,23933.333333333332,NA,NA,NA,NA,NA,NA
2007-02-23,4900,NA,NA,NA,NA,NA,NA
2007-02-26,16980,NA,NA,NA,NA,NA,NA
2007-03-01,15566.666666666666,NA,NA,NA,NA,NA,NA
2007-03-04,6100,NA,NA,NA,NA,NA,NA
2007-03-07,14700.000000000002,NA,NA,NA,NA,NA,NA
2007-03-10,18583.333333333336,NA,NA,NA,NA,NA,NA
2007-03-13,25560,NA,NA,NA,NA,NA,NA
2007-03-16,8520,NA,NA,NA,NA,NA,NA
2007-03-19,9733.333333333334,NA,NA,NA,NA,NA,NA
2007-03-22,18540,NA,NA,NA,NA,NA,NA
2007-03-25,9200,NA,NA,NA,NA,NA,NA
2007-03-28,5116.666666666667,NA,NA,NA,NA,NA,NA
2007-03-31,5566.666666666666,NA,NA,NA,NA,NA,NA
2007-04-03,21066.666666666668,NA,NA,NA,NA,NA,NA
2007-04-05,4300.000000000001,NA,NA,NA,NA,NA,NA
2007-04-06,6666.666666666666,NA,NA,NA,NA,NA,NA
2007-04-09,6740,NA,NA,NA,NA,NA,NA
2007-04-12,11833.333333333334,NA,NA,NA,NA,NA,NA
2007-04-15,9283.333333333334,NA,NA,NA,NA,NA,NA
2007-04-18,4516.666666666667,NA,NA,NA,NA,NA,NA
2007-04-21,11983.333333333334,NA,NA,NA,NA,NA,NA
2007-04-24,10100,NA,NA,NA,NA,NA,NA
2007-04-27,16900,NA,NA,NA,NA,NA,NA
2007-04-30,7700,NA,NA,NA,NA,NA,NA
2007-05-03,5750,1271.843172171377,1193.769209352514,2324.2030103608176,83.72752595121732,3296.5088950402155,198.1601068499461
2007-05-06,3800,1509.3180256174082,209.2952858388969,1073.2737990062142,196.40174560807972,928.8983963705354,44.77011743779687
2007-05-09,7216.666666666667,2237.2511648349578,1505.5296626813386,1525.591056525683,352.9370399133339,1917.5396997509981,283.71011604721633
2007-05-12,10016.666666666666,6105.275140292885,147.0364486702901,1106.3121969952433,30.537673420461005,1839.2845110572198,94.48643396545786
2007-05-15,16900,12519.141635423033,756.9665003731322,3001.104732588031,15.893139443950947,1212.615071128601,202.79935693024424
2007-05-18,5066.666666666666,2475.4215908806727,98.37699966375374,373.0610395659127,65.8247566582711,1145.2667153058849,34.04759380556482
2007-05-21,6200,NA,NA,NA,NA,NA,NA
2007-05-24,14216.666666666666,9537.229854975894,415.6315600308683,2861.7695096040475,69.50753629860417,1894.214830441742,145.28250560877396
2007-05-27,16366.666666666668,11768.115497233523,-106.22245407724698,3168.1016019327294,-3.746940074841136,1445.0416231437416,1.4189564581340195
2007-05-30,14800,8387.146559728928,742.756477257326,2032.84363399855,34.97033262681877,3566.340060900254,284.2564742360911
2007-06-02,24200,18000.41033739952,-182.2594638729034,4193.0503818470825,126.56941413278875,466.186485532475,-0.8544551632744994
2007-06-05,16683.333333333332,11018.763172134393,444.7212866424823,2203.8549304676458,31.509950562178883,1285.6794614219752,105.91436679636931
2007-06-08,29716.666666666668,32460.72365164101,-229.30054018651623,1690.1328440675654,-47.34113581691607,-5.082713630617377,105.42771513377404
2007-06-11,9160,NA,NA,NA,NA,NA,NA
2007-06-14,5883.333333333334,2542.7105276349394,-173.89673750506253,782.2585002679299,28.999359680524613,1493.0318679020359,105.69844058989325
2007-06-17,22000,16893.146572732327,-453.3584803032311,1996.727772804595,26.98606510132154,1451.8768965321556,55.22496417590349
2007-06-20,11283.333333333334,5609.257368998132,578.5391064300269,1875.4341619534882,-31.148008980598302,1052.2897311611425,109.78389718644962
2007-06-23,3500,164.46266885973048,487.3967333397973,1021.727241485362,8.305844939382503,1176.2802203198041,50.870734657041396
2007-06-26,36183.333333333336,28409.585322729876,-518.2760469269103,3655.899084527723,79.91703982624871,962.2931659727831,127.6612492674998
2007-06-29,8950,1528.7332310312652,465.8800467650276,1947.8414491550266,-26.448988467062115,2210.1722795021856,109.29830161124283
2007-07-08,30320,25242.943663582228,-427.76138859090946,3109.843482226028,191.1084446623667,774.9150483995273,-166.03183129313197
2007-07-11,13033.333333333334,6394.526862340971,308.112112797118,4404.52039368485,174.6167983202417,-90.57785207972454,26.498773416841452
2007-07-14,19483.333333333336,15106.291937720598,-371.8571749805274,2328.6385377510987,86.52883585363841,1204.6799514482848,32.50313865804132
2007-07-17,23433.333333333332,23934.732859825384,302.48934443167667,1430.5832110760127,11.220871206460867,-659.6847635539569,133.89670949619344
2007-07-20,9716.666666666666,NA,NA,NA,NA,NA,NA
2007-07-23,5716.666666666667,NA,NA,NA,NA,NA,NA
2007-07-26,9383.333333333332,NA,NA,NA,NA,NA,NA
2007-07-29,31300,33021.16300777103,-640.5267784890947,2643.951521524253,339.3771589392288,-760.3202137361218,-96.23908372961779
2007-08-01,19066.666666666668,9093.1375135762,1235.5487908109062,2045.3120200541935,-83.96422649873573,3098.1266215535406,201.40644493383704
2007-08-04,23783.333333333332,16026.939403188833,-177.17852780544607,1348.5196387762714,-29.202103913793334,1959.3020456069275,112.66737036757765
2007-08-07,37050,40440.835522200745,-789.6866250090317,463.9444925617304,-10.293030248132055,-2070.6599644049106,96.83105214908812
2007-08-10,3199.9999999999995,576.5557089602493,164.63556151988206,315.77615445593744,123.85005386507727,1073.907155468173,72.60133445094274
2007-08-13,14000,NA,NA,NA,NA,NA,NA
2007-08-16,28366.666666666668,16366.176609005928,849.4397708354605,2875.771385090066,38.03633145355124,1812.0730432526516,124.93479739890708
2007-08-19,6750,3525.338237551228,689.8735625005841,259.3847146025005,9.817034598399461,1558.3382048882802,121.15166251953777
2007-08-22,5350,2095.242458650523,202.9461257885695,487.10861449988994,47.13957053928028,1352.564853281599,144.2397066172903
2007-08-25,30033.333333333332,29644.313521392403,-330.01050474097883,2506.399394197999,141.77520494178668,-737.4766454162834,135.53091197771968
2007-08-28,10180,3066.7438889134455,861.2759378674184,1292.7709920308994,-75.05866863858827,2685.7266503658693,251.91555476475972
2007-08-31,16000,10129.81813266184,-239.54638812149298,991.8679284283518,-10.47463789873776,1401.5061275203125,128.30667411469256
2007-09-03,19800,NA,NA,NA,NA,NA,NA
2007-09-06,8333.333333333334,2581.155355128698,439.0808610304506,1754.9142534315424,-18.219248713462534,1544.6859442746202,115.43984518047051
2007-09-09,6183.333333333334,1273.8914797554205,761.533718438975,1341.4548599753227,228.36773708952435,846.4070866876405,67.17250362707982
2007-09-12,5483.333333333333,1621.9433904713335,456.46464952499974,1127.6590160038006,-38.38198023726093,1131.4497998044374,109.19580973397065
2007-09-15,4633.333333333333,3071.144187082399,215.96512288348822,718.6789592376928,26.48900244188567,790.1238655823535,6.824688163915019
2007-09-18,7366.666666666667,2382.383127981884,739.36303749125,1634.8003503569646,241.36542036986572,1969.7274382517523,87.20002604288287
2007-09-21,24700,20253.50527377158,776.8326074265057,2832.110990333598,-34.50548261930817,2219.3116819458446,218.91435666104022
2007-09-24,6850,NA,NA,NA,NA,NA,NA
2007-09-27,15600,10223.46500101102,711.604537621749,2372.7178780281015,200.5108081643379,-178.59391957925376,167.11345223192816
2007-09-30,6016.666666666667,2846.3785280178895,245.34545914439494,673.3737442461907,11.198025731340442,1216.815372068114,40.339935585058164
2007-10-03,8350,5524.0213764770715,154.23431544029415,970.2752853648574,358.089180517504,1257.1484090534323,154.982172716954
2007-10-06,21533.333333333332,29882.891696117014,559.8941273780001,2222.039363598323,459.0250773071737,-1824.9009236303036,225.6064579427501
2007-10-09,13550,NA,NA,NA,NA,NA,NA
2007-10-12,3566.6666666666665,763.0920320097096,706.5785745496592,454.1648665045114,-27.883157549398284,1270.981347368558,1.6724050992070658
2007-10-15,7450,NA,NA,NA,NA,NA,NA
2007-10-18,18850,17033.503083521395,1629.5224019017737,2839.511632546427,329.83230775135854,658.1944998462918,106.91265144326272
2007-10-21,11666.666666666666,9510.9643645846445,992.4391919284569,829.7505302500834,137.60479333938676,1443.7178103560223,70.93526617003798
2007-10-24,5100,692.1004799908858,1008.3206251430005,560.9979895818483,173.08815166221365,1299.762100624797,133.3527447035156
2007-10-27,6750,4282.658714915967,157.6443134454352,970.3226985069467,247.37194412195285,640.6671511866326,62.57422279126827
2007-10-30,14650,7471.640551866632,4084.8879769177443,2586.22298590296,81.84220973926598,2655.120408228185,181.61294966151678
2007-11-02,5033.333333333333,1796.1369759521422,1308.730684799537,795.0179007902915,-53.66548691728368,1562.454927304666,27.737142922168573
2007-11-05,11783.333333333334,NA,NA,NA,NA,NA,NA
2007-11-08,10583.333333333334,1876.3344840675538,4457.0573730112355,1711.2740503524328,71.25096907306593,1537.1665060002329,12.470833449697128
2007-11-11,10150,4170.637212119944,3238.7753108471843,967.9274448695373,37.38731649389641,1360.2330880511688,0.14533393250218962
2007-11-14,30366.666666666668,8217.837153847066,7554.076766412002,3686.9886914395697,190.94780148349793,5511.164085550642,467.21311791798826
2007-11-17,7816.666666666666,3609.5799325617813,2074.786635210741,909.6982257019994,-32.63685455149503,398.7008044215288,46.522139647907025
2007-11-20,12116.666666666668,5487.249256638869,2693.770130465756,1074.0818087642092,286.0283786263588,1261.84957455065,174.75036813968984
2007-11-23,3933.333333333333,2055.8844485177447,1578.2817213681788,732.2036018758183,151.75377394081744,120.07988013491176,-4.18576933912738
2007-11-26,17716.666666666668,NA,NA,NA,NA,NA,NA
2007-11-28,6250,NA,NA,NA,NA,NA,NA
2007-11-29,10566.666666666666,NA,NA,NA,NA,NA,NA
2007-12-02,15533.333333333334,6861.907746339968,2465.3905990749495,643.7421437714964,155.85223776744758,916.8514670878263,86.15815305333584
2007-12-05,10000,3123.039894410624,2976.424538576762,1268.3727838262325,120.27452547941692,945.8378653017099,73.94080801342334
2007-12-08,28433.333333333332,19776.509367859067,4897.582093582202,1110.739745895066,80.1018990876279,-120.37274062699109,12.622850935438969
2007-12-11,18750,11548.101194662053,2701.2227450278438,332.7752000695035,-18.285915590347255,388.5536784696191,62.70354130249742
2007-12-14,20266.666666666664,10641.904490808136,4428.962608829809,1495.5729049004947,178.79833248224284,486.2941051372585,241.04857701617865
2007-12-17,4383.333333333333,NA,NA,NA,NA,NA,NA
2007-12-20,20816.666666666668,19568.776407071582,3389.7769916039906,113.57364842951765,188.7043092872942,-779.7001845562806,-14.295522358848334
2007-12-23,6133.333333333333,5186.790587530559,927.0433813408009,289.69051130895554,1743.3713084795004,-349.3252626150819,109.92833333806526
2007-12-26,15950.000000000002,9804.476852015727,3229.001188589976,620.0306415576549,-39.717320993502746,833.4760785661248,61.208850181352794
2007-12-29,10033.333333333334,4941.234253237268,1634.4189768829776,1695.8319750765227,86.70537766736146,-219.52030686997358,12.31294752588438
2008-01-01,15416.666666666668,12509.087866461248,1448.700463108332,830.7121494703158,204.70771253913088,1444.597724705426,151.8000223972674
2008-01-04,16250,8436.8595501619875,5247.722077560383,2214.4090456047365,174.7466296066861,266.6059677592506,152.76905645879145
2008-01-07,34160.00000000001,NA,NA,NA,NA,NA,NA
2008-01-10,9750,3969.5839961999955,2068.0647298344857,1570.9504513094316,25.434694698078903,1965.7830558583003,243.86057846387607
2008-01-13,9516.666666666666,4823.708351737603,1271.4939862584315,478.12308279665314,80.40804195014759,524.3190649970031,157.60172752684792
2008-01-16,4783.333333333333,41.98000082707239,2137.32606376621,1045.0755146919023,87.25495456183414,581.01616498648,130.85137701067165
2008-01-19,12366.666666666668,9169.297485741079,1533.0208636200575,488.67410491029915,194.01950472809432,1049.452131931795,38.87830576484228
2008-01-22,13850,NA,NA,NA,NA,NA,NA
2008-01-25,8975.000000000002,5181.321262754755,1500.7232052232125,805.1731909104261,27.43414756068622,515.6990120535484,129.34272711185517
2008-01-28,17250,NA,NA,NA,NA,NA,NA
2008-01-31,8733.333333333332,2553.1680684800353,1857.053399713905,2143.7598058220756,150.94985983472475,889.9206339634231,134.8165862542031
2008-02-03,28050,29239.601498374243,3319.437032173263,752.3158579004588,27.277833200661092,-1378.1356676710002,159.23432898814946
2008-02-06,24025,14472.351845455489,3433.3832035764876,2498.8575010297172,-4.771336098851424,3334.1741895576724,436.3982747140423
2008-02-09,24340,23768.700262739196,1805.629305210862,321.30842904237915,200.41379182897265,-665.613146121915,198.45016283441328
2008-02-12,16660,6380.8200982567805,3508.1459497119595,1412.8673027039322,129.3648197514753,-4.953211281859333,283.5364751520744
2008-02-15,19040,13460.015180192211,2416.320681029085,1072.4996317751313,-41.06696001054648,353.2940426168425,121.70883178732498
2008-02-18,7380,NA,NA,NA,NA,NA,NA
2008-02-21,8280.000000000002,3173.548409468071,1424.793181168651,598.5347966060926,-4.9079791177326175,1432.4395291476249,134.22895174717573
2008-02-24,16466.666666666668,11924.55358065616,1811.7381986904709,-281.7719013067263,160.5382290095551,675.6965531835207,35.97984113826891
2008-02-27,10380,6289.601809866174,1246.3348901361535,998.3147389161387,-16.886632853993163,94.61696049151634,99.04571176002726
2008-03-01,10783.333333333334,8042.980049467267,978.2060611685127,761.2845970160697,28.109407064926447,-27.275425936834104,56.25507451692828
2008-03-04,13150,7053.377949667472,1130.1168069888442,1099.3336198028426,1605.7068859786762,2882.8331826413737,362.3666091845508
