"Date","aluminum","ammonium ion","antimony","arsenic","barium","bromine","cadmium","calcium","chlorine","chromium","cobalt","copper","elemental carbon","iron","lead","magnesium","manganese","nickel","organic carbon","potassium ion","selenium","silicon","sodium","sulfur","titanium","total nitrate","vanadium","zinc"
"2002-03-21",0.014,2.23,0.002,0.0015,0.019,0.00272,0.001,0.033,0.0105,0.001,0.001,0.00286,NA,0.089,0.0042,0,0.00286,0.0171,NA,0,0.001,0.0574,0.162,1.37,0.0049,2.73,0.00371,0.028
"2002-03-24",0.025,2.31,0.004,0.0013,0.016,0.00685,0.002,0.0775,0.0188,0,0,0.00239,NA,0.123,0.0074,0,0.002,0.0239,NA,0,0.002,0.133,0.039,1.25,0.0086,4.14,0.00722,0.0406
"2002-03-27",0,1.63,0,0,0.0052,0.003,0,0.031,0,0,0.00093,0.00142,NA,0.0548,0.00353,0,0.00142,0.0151,NA,0,0.00092,0.0461,0,1.16,0.00237,1.96,0.00286,0.0288
"2002-03-30",0.0143,1.76,0,0,0.0067,0.00409,0.0055,0.049,0.0063,0.00083,0.0013,0.00059,NA,0.0792,0.00368,0.0235,0.00199,0.00835,NA,0,0.00081,0.084,0.259,1.6,0.00382,0.934,0.00382,0.0202
"2002-04-02",0.013,2.32,0,0.00092,0.006,0.004,0.001,0.0457,0.0474,0.00075,0.00099,0.00169,NA,0.0896,0.00264,0,0.0016,0.0128,NA,0,0.00054,0.0922,0,1.64,0.00344,2.59,0.00461,0.0224
"2002-04-05",0.013,1.24,0.001,0,0.012,0.00235,0,0.024,0,0,0.00066,0.00159,NA,0.0493,0.0042,0,0.00122,0.0101,NA,0,0,0.0413,0.002,0.924,0.0044,1.28,0.00347,0.011
"2002-04-08",0.0262,1.68,0,0,0.016,0.00619,0,0.0811,0.187,0.001,0,0.00173,NA,0.118,0.0028,0,0.0013,0.0184,NA,0.095,0.001,0.219,0.094,1.38,0.009,1.58,0.00732,0.034
"2002-04-11",0.0137,1.2,0.003,0.0027,0.015,0.00314,0.002,0.0482,0.0144,0,0,0.00235,NA,0.0814,0.002,0.0135,0.0015,0.00755,NA,0.05,0.001,0.112,0.048,1.06,0.0059,0.787,0.00155,0.0364
"2002-04-14",0,1.62,0.005,0,0.025,0.00338,0,0.0319,0.0375,0,0,0.00122,NA,0.0565,0.0031,0.0232,0.001,0.0123,NA,0.051,0.001,0.0573,0.118,1.07,0.0044,2.37,0.00638,0.0166
"2002-04-17",0.0281,5.52,0.003,0.001,0.039,0.0124,0.003,0.107,0,0,0,0.011,NA,0.267,0.0096,0.0115,0.0053,0.0229,NA,0,0.003,0.208,0.135,4.01,0.0144,1.75,0.0154,0.0434
"2002-04-20",0.029,1.31,0.003,0.0025,0.013,0.00202,0,0.067,0.001,0.00117,0,0.0045,NA,0.15,0.0031,0.001,0.00389,0.00957,NA,0,0.001,0.126,0,1.07,0.0095,1.74,0.006,0.0232
"2002-04-24",0.031,1.06,0.003,0.001,0.033,0.00465,0,0.074,0.0159,0.001,0.00066,0.00394,NA,0.158,0.0046,0.014,0.00235,0.0181,NA,0,0.00117,0.142,0.116,0.729,0.0092,1.84,0.00591,0.0372
"2002-04-26",0.026,1.05,0,0,0.032,0.00244,0.001,0.035,0.004,0,0,0.00272,NA,0.103,0.0049,0,0.00249,0.0136,NA,0,0,0.111,0.01,0.865,0.0046,0.946,0.00286,0.0163
"2002-04-29",0,0.989,0,0.0014,0.026,0.00094,0,0.0218,0,0,0,0.00098,NA,0.041,0.001,0,0,0.00802,NA,0,0.001,0.0362,0.016,0.822,0.0029,1.05,0.00216,0.0145
"2002-05-02",0,3.06,0.007,0.001,0.032,0.00516,0,0.0761,0.16,0,0,0.0023,NA,0.0739,0.002,0,0.001,0.0118,NA,0.063,0,0.0712,0.14,1.83,0.0047,3.94,0.00492,0.0401
"2002-05-08",0.018,1.3,0.003,0,0.027,0.00249,0,0.037,0.011,0,0,0.00291,NA,0.0723,0.002,0,0.00145,0.00498,NA,0,0,0.072,0.16,1.25,0.0046,0.727,0.00244,0.0188
"2002-05-11",0.0204,0.67,0,0,0.0054,0.00274,0,0.0487,0.0101,0.001,0.00067,0,NA,0.0752,0.00331,0,0.00224,0.00429,NA,0,0,0.131,0,0.61,0.00618,0.651,0.00372,0.0123
"2002-05-14",0.011,0.693,0,0.001,0.029,0.001,0,0.022,0,0,0,0.00174,NA,0.0508,0.002,0,0.00206,0.00854,NA,0,0,0.0343,0.009,0.684,0.0027,0.384,0.00239,0.0188
"2002-05-17",0.034,1.58,0.004,0.0015,0.026,0.00263,0,0.068,0.0492,0.001,0,0.00296,NA,0.0685,0.001,0.047,0.00249,0,NA,0,0,0.115,0.351,0.316,0.0053,0.619,0.00197,0.0112
"2002-05-20",0,0.982,0,0,0.0063,0.00285,0.0042,0.037,0,0,0,0.007,NA,0.0602,0.0035,0,0.00121,0.00665,NA,0,0,0.0799,0,0.988,0.004,0.35,0.0015,0.012
"2002-05-23",0.109,2.52,0.009,0,0.0138,0.00836,0,0.058,0,0.0017,8e-04,0.008,NA,0.14,0.0142,0,0.00314,0.0123,NA,0,0.0016,0.216,0.021,1.68,0.006,3.99,0.0047,0.054
"2002-05-26",0.007,1.41,0.003,0.0015,0.017,0.00568,0,0.047,0.332,0.001,0,0.00131,NA,0.0477,0,0.07,0.00122,0.00455,NA,0.055,0.001,0.0491,0.627,1.14,0.0035,1.66,0.0076,0.00995
"2002-05-29",0.012,3.23,0.001,0.001,0.01,0.00333,0,0.037,0,0.001,0.00084,0.00178,NA,0.061,0.001,0.004,0.00145,0.00361,NA,0.067,0.00145,0.0603,0.075,2.67,0.0034,1.68,0.00239,0.0122
"2002-06-04",0.0085,0.772,0,0.00036,0.005,0.00243,0.0041,0.0226,0,0.00142,0.00079,0.00115,NA,0.0541,0.00165,0.0129,0.00191,0.00375,NA,0,0.00049,0.0494,0,0.657,0.00247,0.854,0.00437,0.0129
"2002-06-07",0,0.333,0.02,0,0.0066,0.00173,0.0049,0.011,0,0.001,0,0.004,NA,0.0397,0.0019,0,0.001,0.00171,NA,0,0,0.0835,0,0.481,0.004,0.235,0.002,0.004
"2002-06-10",0,2.01,0.007,0,0.0174,0.0035,0,0.03,0,0,0,0.006,NA,0.0823,0.0057,0,0.00159,0.00464,NA,0,0,0.156,0,2.15,0.001,1.13,0.0025,0.01
"2002-06-13",0,1.44,0,0,0.026,0.00182,0,0.0139,0,0,0,0.00177,NA,0.0351,0.001,0,0.001,0.00287,NA,0,0,0.0269,0.023,1.14,0.0036,1.32,0.00215,0.0109
"2002-06-16",NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.55,NA,NA
"2002-06-19",0.0144,3.43,0,0,0.0093,0.00543,0.0046,0.0648,0.002,0.00155,0.00165,0.00482,NA,0.189,0.00913,0,0.00464,0.0149,NA,0.084,0.00181,0.0979,0,2.46,0.00663,3.11,0.0066,0.0477
"2002-06-22",0.0111,2.81,0.007,0.00114,0.0085,0.005,0,0.0382,0,0.00084,0,0.00264,NA,0.124,0.00938,0,0.00501,0.0066,NA,0,0.00254,0.0874,0,2.54,0.00522,1.35,0.00892,0.0375
"2002-06-25",0,2.78,0.002,0.001,0.017,0.00432,0,0.0407,0.003,0.00084,0,0.00277,NA,0.0982,0.0025,0,0.0014,0.00394,NA,0,0.001,0.101,0.072,2.29,0.0066,1.71,0.00671,0.012
"2002-06-28",0.0224,1.85,0.007,0.001,0,0.00214,0.003,0.034,0,0.001,0.00112,0.007,NA,0.0691,0.0043,0,0.00073,0.011,NA,0,0.0025,0.115,0.059,1.7,0.006,1.59,0.0019,0.013
"2002-07-01",0,2.8,0.002,0.001,0.039,0.0069,0,0.0473,0.0064,0.00084,0,0.00451,NA,0.133,0.0063,0,0.0034,0.00943,NA,0.052,0.001,0.101,0.052,2.57,0.008,1.09,0.00788,0.0236
"2002-07-04",0.434,4.13,0.004,0.001,0.016,0.00296,0,0.163,0,0,0,0.00277,NA,0.337,0.0025,0.008,0.00709,0.0109,NA,0.288,0.001,0.863,0.028,1.59,0.0376,1.02,0.00427,0.00723
"2002-07-07",0.0944,1.25,0,0.0018,0.0079,0.00897,0.003,0.112,0.0209,0,0,0.005,NA,0.0598,0.0083,0.0837,0,0.00641,NA,0.513,0.0015,0.0995,0.188,0.934,0.006,1.4,0.001,0.027
"2002-07-10",0,2.38,0,0.001,0.0131,0.00381,0.001,0.059,0,0.0014,0.00062,0.005,NA,0.0719,0.0039,0,0.00204,0.00649,NA,0.077,0.0026,0.234,0,2.84,0.005,1.87,0.0058,0.027
"2002-07-13",0.018,1.09,0,0.002,0.036,0.00418,0,0.018,0,0.00098,0,0.00174,NA,0.0651,0,0,0.00164,0.00399,NA,0,0.00122,0.041,0.049,0.846,0.004,0.792,0.00535,0.0157
"2002-07-16",0.0095,0.538,0.001,0,0.042,0.00197,0.002,0.0426,0.0047,0,0,0.0015,NA,0.0763,0.0027,0,0,0.00652,NA,0,0.001,0.0737,0.058,0.573,0.007,0.312,0.00164,0.0113
"2002-07-19",0,7.17,0.008,0,0.0093,0.00491,0.004,0.068,0,0.0015,0,0.006,NA,0.113,0.008,0,0,0.00841,NA,0,0.0028,0.36,0,4.75,0.005,2.27,0.0053,0.019
"2002-07-22",0.002,1.27,0,4e-04,0,0.00469,0.0037,0.041,0.001,0,0.00048,0.00056,NA,0.0845,0.00246,0.002,0.00171,0.00371,NA,0,0.00111,0.079,0.114,1.42,0.00535,0.524,0.00493,0.0108
"2002-07-25",0.0043,0.145,0,0,0.01,0.0015,0.002,0.0223,0.0074,0,0,0.00188,NA,0.0524,0.001,0,0.001,0.00221,NA,0,0,0.0577,0.068,0.223,0.0054,0.294,0.00113,0.00816
"2002-07-28",0,3.72,0.015,0,0.0128,0.00412,0,0.029,0,0,0,0.005,NA,0.0685,0.0024,0,0,0.00536,NA,0,0.001,0.205,0,3.63,0.003,1.77,0.0125,0.009
"2002-07-31",0.0139,0.972,0.007,0.001,0.028,0.00235,0,0.0608,0,0,0,0.00333,NA,0.124,0.002,0,0.0024,0.00507,NA,0,0,0.0814,0.038,0.972,0.0069,0.422,0.00216,0.0129
"2002-08-03",0,3.4,0.002,0.001,0.007,0.0065,0,0.024,0,0.00104,0,0.00235,NA,0.0742,0.0045,0,0.0024,0.012,NA,0,0.0017,0.0573,0.058,2.48,0.0041,2.48,0.00645,0.0149
"2002-08-06",0.0116,0.357,0.013,0,0,0.00086,0,0.0327,0,0.001,0.00074,0,NA,0.0498,0.00111,0,0.00175,0.00201,NA,0,0.00043,0.07,0,0.472,0.00401,0.153,0,0.00694
"2002-08-09",0.0206,0.251,0.007,0.00052,0.0109,0.00174,0.004,0.0314,0,0.001,0,0.00186,NA,0.0993,0,0.0227,0.00125,0.0042,NA,0,0,0.0878,0,0.34,0.00393,0.297,0.00285,0.013
"2002-08-12",0.031,2.79,0.001,0.001,0.028,0.00624,0,0.047,0,0.00113,0,0.00329,NA,0.152,0.0092,0.016,0.00638,0.00868,NA,0,0.00206,0.0871,0.222,2.52,0.0075,1.46,0.00943,0.0291
"2002-08-15",0.019,1.14,0.004,0.0019,0.02,0.00361,0.001,0.031,0,0.001,0,0.00108,NA,0.0629,0,0.002,0.00131,0.00394,NA,0.056,0.00108,0.0542,0.196,1.12,0.0039,0.622,0.00713,0.00596
"2002-08-18",0.0217,4.47,0,0.00121,0.0073,0.00581,0,0.0362,0,0.0014,0.00092,0.00237,NA,0.124,0.0104,0,0.00539,0.013,NA,0,0.00346,0.116,0,3.69,0.00482,1.97,0.0101,0.0386
"2002-08-21",0.0079,0.783,0.008,0.00075,0.001,0.0017,0.002,0.0246,0,0.00122,0.00056,0.00125,NA,0.0718,0.0011,0,0.00213,0.00273,NA,0,0.00056,0.0594,0,0.892,0.0037,0.357,0.00158,0.00963
"2002-08-24",0.0182,0.871,0,0.0018,0.013,0.00356,0,0.022,0,0.0013,0,0.006,NA,0.0516,0,0.025,0,0.00354,NA,0,0,0.0397,0.131,0.803,0,1.1,0.002,0.011
"2002-08-27",0,1.72,0,0.00107,0.0081,0.00308,0.003,0.0406,0,0.00113,0,0.00266,NA,0.14,0.00441,0,0.00263,0.00796,NA,0,0.00165,0.0846,0,1.53,0.00512,2.34,0.00804,0.0181
"2002-09-19",0,1.15,0.006,0.0011,0.0229,0.00268,0.002,0.065,0,0.0013,0,0.013,NA,0.226,0.0026,0,0,0.00581,NA,0,0.001,0.0865,0,1.27,0.004,0.834,0.0038,0.023
"2002-09-26",0.007,0.475,0,0.001,0.016,0.001,0.001,0.015,0,0.001,0,0.00136,NA,0.0506,0.002,0.017,0.00169,0.00098,NA,0,0.001,0.028,0.079,0.478,0.0024,0.556,0.00188,0.00619
"2002-09-29",0,0.688,0.003,0.0012,0.03,0.00366,0,0.018,0.0106,0,0,0.00197,NA,0.044,0.002,0,0.0013,0.00394,NA,0,0.001,0.0235,0.018,0.632,0.0045,0.617,0.00155,0.0146
"2002-10-02",0,7.48,0.002,0.001,0.017,0.00872,0.001,0.0664,0.0046,0.00127,0,0.00699,NA,0.211,0.0107,0,0.0046,0.0161,NA,0,0.008,0.13,0.033,3.76,0.0107,5.53,0.016,0.0477
