date,pm25,bc,Na,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Ba,Pb
2/1/1999,16.8465837,1.329589352,0.294523207,0.104583592,0.161143189,0.996464195,0.013207722,0.081492541,0.053235204,0.006109694,0.01882325,0.000539091,0,0.130999035,0.015184387,0.005166286,0.029335518,0,0,0.00606477,0.008984845
2/2/1999,0.573177368,2.064688018,0.085518063,0.016140675,0.001925876,0.028842285,0.00055025,0.001283917,0.000917084,0.001329771,0.000137563,0.000183417,0,0.003118085,0,0.000504396,4.58542E-05,0,0,0.006190316,0.000504396
2/3/1999,,1.503556889,,,,,,,,,,,,,,,,,,,
2/4/1999,16.77546882,3.77622993,0.162600772,0.045939544,0.109726956,1.30313073,0.007485861,0.04511216,0.043220995,0.006697875,0.017217479,0.001103179,0.002442755,0.152041768,0.010913597,0.00965282,0.028131076,0,0,0.003073143,0.007446461
2/5/1999,7.068164952,0.555959549,0.435941995,0.025946081,0.043801449,0.478986186,0.089635541,0.036866552,0.036268716,0.001155816,0.00326817,0.000159423,0.000478269,0.030649058,0.003945717,0,0.006775474,0,0.000677547,0.016579984,0.004742832
2/6/1999,18.16049681,0.79657428,0.210108166,0.047659888,0.103278078,1.095592915,0.007958302,0.052156104,0.063441606,0.005440421,0.018524409,0.000764357,0.001618638,0.120723395,0.012904139,0.005395459,0.024414452,0,0.002023297,0.020817479,0.006114854
2/7/1999,12.48602256,0.506776131,0.268063553,0.08572222,0.148924196,0.839593453,0.008087916,0.057293439,0.049108662,0.005569523,0.015643094,0.000435876,0,0.106837976,0.01452919,0.004068173,0.017192875,0,0.001985656,0.004213465,0.01070317
2/8/1999,16.43615004,0.661684361,0.263088204,0.045722007,0.066321066,1.682534709,0.004216439,0.047566699,0.041988702,0.002327826,0.009135617,0,0,0.069483395,0.007861901,0.006500343,0.02024769,0,0.001098031,0.005138785,0.006851713
2/9/1999,10.62174474,1.299255275,0.231385691,0.043609277,0.084097497,0.783641597,0.00316381,0.045575969,0.04048822,0.002821777,0.01693066,0.000213771,0,0.084482285,0.013595833,0.00265076,0.015519772,0,0,0.023899594,0.004531944
2/10/1999,5.110351227,0.839924424,0.106416033,0.024891869,0.056720097,0.513114933,0.016901886,0.022828522,0.023399235,0.003116971,0.001404832,0.000614614,0.000219505,0.038281675,0.003687684,0.004565704,0.003863288,0,0,0.005926636,0.005355922
2/11/1999,7.962251783,0.840227198,0.266841102,0.060959595,0.087677042,0.519537673,0.002571733,0.029432054,0.039242739,0.004190972,0.008572443,0.000190499,0,0.061864464,0.004143347,0,0.009524937,0,0,0,0.009524937
2/12/1999,6.144374258,1.077399533,0.373955643,0.015951768,0.026571468,0.698056458,0.000933112,0.018839971,0.018440066,0.001910657,0.00239943,0.000488773,0.001333017,0.020172987,0.003288108,0.000844244,0.006576216,0,0,0,0.005109898
2/13/1999,5.436137748,0.352618116,0.12378605,0.031777515,0.031511594,0.625844188,0.000709122,0.019633806,0.013384671,0.001418243,0.002437606,0.000930722,0,0.023622615,0.003191047,0.002127365,0.003678569,0,0,0,0.006382095
2/14/1999,8.442836051,0.301259421,0.619231367,0.033916821,0.05885566,0.545038322,0.027266464,0.054740751,0.038281118,0.002452319,0.007356957,0.000748165,0.001870413,0.033958385,0.007481652,4.15647E-05,0.008021993,0,0.004904638,0,0.00386552
2/15/1999,,0.880392311,,,,,,,,,,,,,,,,,,,
2/16/1999,,1.785406534,,,,,,,,,,,,,,,,,,,
2/17/1999,11.91502611,1.034389357,0.578637206,0.028577536,0.031912354,0.976870032,0.013431905,0.036636679,0.037933553,0.001157923,0.014172976,0.000370535,0,0.044556871,0.01245925,0.00314955,0.016766723,0,0.000370535,0,0.004539058
2/18/1999,15.42055075,1.182112286,0.253866992,0.053232355,0.066517926,1.826518286,0.002386899,0.051385886,0.037920172,0.005044013,0.019500516,0.000270215,0,0.068859789,0.018734907,0.005584443,0.017158652,0,0.001215967,0.014096216,0.008511772
2/19/1999,12.45560736,0.816446889,0.190065673,0.025863946,0.030304305,1.001186498,0.00265506,0.033279804,0.020553826,0.003616375,0.011627332,0.00073243,0,0.039688569,0.014236615,0.005401674,0.029159883,0,0,0.010345579,0.027054146
2/20/1999,,0.441769459,,,,,,,,,,,,,,,,,,,
2/21/1999,5.53120363,0.49959151,0.137924453,0.050415641,0.091509437,0.40126655,0.00112639,0.033558639,0.031111655,0.004039466,0.006719496,0,0.000233046,0.047424882,0.005826153,0.003301486,0.007807044,0,0.000271887,0.017400776,0.001980892
2/22/1999,,0.302886839,,,,,,,,,,,,,,,,,,,
2/23/1999,9.662448761,0.651344475,0.196160285,0.054832206,0.086170701,0.612909435,0.002520087,0.041418842,0.044101515,0.002438793,0.018819356,0,0,0.05950656,0.025647978,0.002804612,0.015567631,0,0,0.010811984,0.005040173
2/24/1999,7.716979396,1.076938715,0.089002409,0.05248116,0.082825717,0.519754172,0.002570167,0.034904531,0.04103977,0.002362896,0.014011558,0,0.001865444,0.057870221,0.01595991,0.006839962,0.012311931,8.29086E-05,0.000538906,0.016706088,0.004850155
2/25/1999,8.102904438,0.828029121,0.165138481,0.026263106,0.046095432,0.53851639,0.002061777,0.04172643,0.020617765,0.001030888,0.009376174,0.000441809,0,0.022090463,0.010897962,0,0.016297852,0,0.003141755,0,0.004958082
